subject,session,AcqGroup
sub-A00053854,BAS1,1
sub-A00053851,BAS1,1
sub-A00053850,BAS1,1
sub-A00053744,TRT,1
sub-A00053744,BAS1,1
sub-A00054206,BAS1,1
sub-A00054206,FLU1,1
sub-A00054206,FLU2,1
sub-A00054581,FLU2,1
sub-A00055076,FLU1,1
sub-A00055061,BAS1,1
sub-A00054929,BAS1,1
sub-A00054895,FLU1,1
sub-A00054895,BAS2,1
sub-A00054857,BAS2,1
sub-A00054857,BAS1,1
sub-A00054621,BAS1,1
sub-A00054581,FLU1,1
sub-A00054358,BAS1,1
sub-A00054581,BAS1,1
sub-A00054578,TRT,1
sub-A00054578,BAS1,1
sub-A00054534,BAS1,1
sub-A00054533,BAS1,1
sub-A00054504,BAS1,1
sub-A00054482,BAS1,1
sub-A00054441,BAS1,1
sub-A00051514,BAS1,1
sub-A00055946,TRT,1
sub-A00038806,BAS2,1
sub-A00038623,FLU1,1
sub-A00038623,BAS2,1
sub-A00038424,BAS2,1
sub-A00038414,FLU1,1
sub-A00038414,BAS2,1
sub-A00037848,BAS2,1
sub-A00037817,FLU1,1
sub-A00037817,BAS2,1
sub-A00037522,FLU1,1
sub-A00037522,BAS2,1
sub-A00037511,BAS2,1
sub-A00037457,FLU1,1
sub-A00037457,BAS2,1
sub-A00037267,FLU1,1
sub-A00037267,BAS2,1
sub-A00037126,TRT,1
sub-A00037126,BAS2,1
sub-A00038642,BAS2,1
sub-A00038806,FLU1,1
sub-A00040285,BAS2,1
sub-A00039277,BAS2,1
sub-A00040117,FLU2,1
sub-A00039975,BAS2,1
sub-A00039951,BAS2,1
sub-A00039846,FLU1,1
sub-A00039846,BAS2,1
sub-A00039820,FLU1,1
sub-A00039820,BAS2,1
sub-A00039758,FLU1,1
sub-A00039758,BAS2,1
sub-A00039685,BAS2,1
sub-A00039593,FLU1,1
sub-A00039593,BAS2,1
sub-A00039560,FLU1,1
sub-A00039560,BAS2,1
sub-A00039391,FLU1,1
sub-A00039391,BAS2,1
sub-A00039353,BAS2,1
sub-A00037112,BAS2,1
sub-A00035945,TRT,1
sub-A00035945,FLU1,1
sub-A00035840,BAS2,1
sub-A00031881,FLU2,1
sub-A00031881,FLU1,1
sub-A00031794,BAS2,1
sub-A00031452,FLU1,1
sub-A00031452,BAS2,1
sub-A00031219,BAS2,1
sub-A00030989,BAS2,1
sub-A00030947,BAS2,1
sub-A00028754,BAS2,1
sub-A00028753,BAS2,1
sub-A00028352,BAS2,1
sub-A00028339,BAS2,1
sub-A00027167,TRT,1
sub-A00027167,FLU1,1
sub-A00027159,TRT,1
sub-A00027159,FLU1,1
sub-A00018030,TRT,1
sub-A00018030,FLU1,1
sub-A00031881,TRT,1
sub-A00032875,BAS2,1
sub-A00033673,BAS2,1
sub-A00035292,FLU1,1
sub-A00035561,FLU2,1
sub-A00035377,TRT,1
sub-A00035377,FLU2,1
sub-A00035377,FLU1,1
sub-A00035364,FLU1,1
sub-A00035292,TRT,1
sub-A00035292,FLU2,1
sub-A00035291,FLU1,1
sub-A00033714,FLU1,1
sub-A00035072,BAS2,1
sub-A00034854,BAS2,1
sub-A00034350,TRT,1
sub-A00034350,FLU1,1
sub-A00034193,BAS2,1
sub-A00033747,BAS2,1
sub-A00033714,TRT,1
sub-A00033714,FLU2,1
sub-A00040225,BAS2,1
sub-A00040285,FLU1,1
sub-A00051477,BAS1,1
sub-A00044405,BAS1,1
sub-A00044369,BAS1,1
sub-A00044345,BAS1,1
sub-A00044344,BAS1,1
sub-A00044291,BAS1,1
sub-A00044171,BAS1,1
sub-A00044154,BAS1,1
sub-A00044131,BAS1,1
sub-A00044130,BAS1,1
sub-A00044084,FLU1,1
sub-A00044084,BAS1,1
sub-A00044012,BAS1,1
sub-A00043998,BAS1,1
sub-A00043790,BAS1,1
sub-A00043788,TRT,1
sub-A00043788,FLU1,1
sub-A00043788,BAS1,1
sub-A00043739,BAS1,1
sub-A00043722,BAS1,1
sub-A00044370,BAS1,1
sub-A00044408,BAS1,1
sub-A00040286,BAS2,1
sub-A00044410,BAS1,1
sub-A00051456,FLU1,1
sub-A00051456,BAS2,1
sub-A00051455,BAS1,1
sub-A00051063,BAS1,1
sub-A00051023,BAS1,1
sub-A00050940,BAS1,1
sub-A00050912,BAS1,1
sub-A00050848,TRT,1
sub-A00050848,FLU2,1
sub-A00050848,FLU1,1
sub-A00050848,BAS1,1
sub-A00050815,BAS1,1
sub-A00050721,BAS1,1
sub-A00050720,BAS1,1
sub-A00045590,BAS1,1
sub-A00045589,BAS1,1
sub-A00045554,BAS1,1
sub-A00044427,BAS1,1
sub-A00043721,BAS1,1
sub-A00043704,BAS1,1
sub-A00043677,BAS1,1
sub-A00043649,BAS1,1
sub-A00040800,FLU1,1
sub-A00040800,BAS1,1
sub-A00040798,TRT,1
sub-A00040798,FLU2,1
sub-A00040798,FLU1,1
sub-A00040798,BAS1,1
sub-A00040628,BAS2,1
sub-A00040604,FLU1,1
sub-A00040604,BAS2,1
sub-A00040580,FLU1,1
sub-A00040580,BAS2,1
sub-A00040556,TRT,1
sub-A00040556,FLU2,1
sub-A00040556,FLU1,1
sub-A00040383,BAS2,1
sub-A00040312,BAS2,1
sub-A00040311,FLU1,1
sub-A00040311,BAS2,1
sub-A00040286,FLU1,1
sub-A00040800,FLU2,1
sub-A00040800,TRT,1
sub-A00040815,BAS1,1
sub-A00043466,BAS1,1
sub-A00043635,BAS1,1
sub-A00043634,BAS1,1
sub-A00043617,BAS2,1
sub-A00043617,BAS1,1
sub-A00043520,BAS1,1
sub-A00043509,BAS1,1
sub-A00043494,TRT,1
sub-A00043494,BAS1,1
sub-A00043462,BAS1,1
sub-A00040815,FLU1,1
sub-A00043384,BAS1,1
sub-A00043324,BAS1,1
sub-A00043299,BAS1,1
sub-A00043240,TRT,1
sub-A00041540,BAS1,1
sub-A00040815,TRT,1
sub-A00040815,FLU2,1
sub-A00055946,FLU2,1
sub-A00052500,BAS1,1
sub-A00056020,FLU1,1
sub-A00061274,BAS1,1
sub-A00061210,BAS1,1
sub-A00061204,BAS1,1
sub-A00061203,BAS1,1
sub-A00061021,BAS1,1
sub-A00061001,BAS1,1
sub-A00060925,BAS1,1
sub-A00060923,BAS1,1
sub-A00060846,FLU2,1
sub-A00060846,FLU1,1
sub-A00060846,BAS1,1
sub-A00060806,TRT,1
sub-A00060806,BAS1,1
sub-A00060773,BAS1,1
sub-A00060664,TRT,1
sub-A00060664,FLU2,1
sub-A00060664,FLU1,1
sub-A00060664,BAS1,1
sub-A00061263,BAS1,1
sub-A00061275,BAS1,1
sub-A00061656,BAS2,1
sub-A00061276,BAS1,1
sub-A00061647,BAS1,1
sub-A00061634,BAS1,1
sub-A00061600,BAS1,1
sub-A00061598,BAS1,1
sub-A00061597,BAS1,1
sub-A00061485,BAS1,1
sub-A00061483,BAS1,1
sub-A00061415,TRT,1
sub-A00061415,FLU2,1
sub-A00061415,FLU1,1
sub-A00061415,BAS1,1
sub-A00061413,TRT,1
sub-A00061413,FLU2,1
sub-A00061413,FLU1,1
sub-A00061298,TRT,1
sub-A00061298,BAS1,1
sub-A00061284,BAS1,1
sub-A00061281,BAS1,1
sub-A00060662,BAS1,1
sub-A00060632,BAS1,1
sub-A00060630,BAS1,1
sub-A00060628,BAS1,1
sub-A00060471,BAS1,1
sub-A00060431,BAS1,1
sub-A00060430,BAS1,1
sub-A00060429,TRT,1
sub-A00060429,FLU2,1
sub-A00060429,FLU1,1
sub-A00060429,BAS1,1
sub-A00060407,BAS1,1
sub-A00060384,TRT,1
sub-A00060384,FLU2,1
sub-A00060384,FLU1,1
sub-A00060384,BAS1,1
sub-A00060383,BAS1,1
sub-A00060372,BAS1,1
sub-A00060306,BAS1,1
sub-A00060302,BAS1,1
sub-A00060301,BAS1,1
sub-A00060280,TRT,1
sub-A00060472,BAS1,1
sub-A00060472,FLU1,1
sub-A00060582,BAS1,1
sub-A00060603,TRT,1
sub-A00060603,FLU2,1
sub-A00060603,FLU1,1
sub-A00060603,BAS1,1
sub-A00060602,FLU2,1
sub-A00060602,FLU1,1
sub-A00060602,BAS2,1
sub-A00060602,BAS1,1
sub-A00060581,BAS1,1
sub-A00060480,BAS1,1
sub-A00060576,BAS1,1
sub-A00060575,FLU1,1
sub-A00060575,BAS2,1
sub-A00060575,BAS1,1
sub-A00060574,BAS1,1
sub-A00060516,BAS1,1
sub-A00060493,FLU2,1
sub-A00060493,FLU1,1
sub-A00061656,BAS1,1
sub-A00061656,FLU1,1
sub-A00060280,BAS1,1
sub-A00062809,FLU1,1
sub-A00062797,BAS1,1
sub-A00062411,BAS1,1
sub-A00062369,TRT,1
sub-A00062369,FLU1,1
sub-A00062369,BAS1,1
sub-A00062368,BAS1,1
sub-A00062361,BAS1,1
sub-A00062351,BAS1,1
sub-A00062292,BAS1,1
sub-A00062288,BAS1,1
sub-A00062285,FLU1,1
sub-A00062285,BAS2,1
sub-A00062285,BAS1,1
sub-A00062282,BAS2,1
sub-A00062282,BAS1,1
sub-A00062268,BAS1,1
sub-A00062266,BAS1,1
sub-A00062255,BAS1,1
sub-A00062809,BAS1,1
sub-A00062809,TRT,1
sub-A00061666,BAS1,1
sub-A00062917,BAS1,1
sub-A00062997,BAS1,1
sub-A00062996,TRT,1
sub-A00062996,BAS1,1
sub-A00062989,TRT,1
sub-A00062989,FLU2,1
sub-A00062989,BAS1,1
sub-A00062983,TRT,1
sub-A00062983,FLU1,1
sub-A00062982,BAS1,1
sub-A00062942,BAS1,1
sub-A00062937,FLU1,1
sub-A00062937,BAS2,1
sub-A00062937,BAS1,1
sub-A00062934,BAS1,1
sub-A00062929,BAS1,1
sub-A00062928,BAS1,1
sub-A00062926,BAS1,1
sub-A00062923,BAS1,1
sub-A00062210,FLU1,1
sub-A00062210,BAS2,1
sub-A00062210,BAS1,1
sub-A00062146,TRT,1
sub-A00061790,BAS1,1
sub-A00061787,BAS1,1
sub-A00061767,BAS1,1
sub-A00061749,TRT,1
sub-A00061749,FLU1,1
sub-A00061749,BAS1,1
sub-A00061730,BAS1,1
sub-A00061728,BAS1,1
sub-A00061727,BAS1,1
sub-A00061725,BAS1,1
sub-A00061715,TRT,1
sub-A00061715,FLU1,1
sub-A00061715,BAS1,1
sub-A00061714,TRT,1
sub-A00061714,FLU1,1
sub-A00061714,BAS1,1
sub-A00061711,BAS1,1
sub-A00061709,BAS1,1
sub-A00061881,BAS1,1
sub-A00061882,BAS1,1
sub-A00061883,BAS1,1
sub-A00062081,FLU2,1
sub-A00062146,BAS1,1
sub-A00062144,TRT,1
sub-A00062144,BAS1,1
sub-A00062085,TRT,1
sub-A00062085,FLU2,1
sub-A00062085,FLU1,1
sub-A00062085,BAS1,1
sub-A00062081,TRT,1
sub-A00062081,FLU1,1
sub-A00061883,FLU1,1
sub-A00062081,BAS1,1
sub-A00056020,FLU2,1
sub-A00062009,BAS1,1
sub-A00061962,FLU1,1
sub-A00061962,BAS2,1
sub-A00061962,BAS1,1
sub-A00061923,BAS1,1
sub-A00061883,TRT,1
sub-A00060280,FLU1,1
sub-A00062009,TRT,1
sub-A00060279,BAS1,1
sub-A00057809,BAS1,1
sub-A00057725,TRT,1
sub-A00057725,FLU2,1
sub-A00057725,FLU1,1
sub-A00057725,BAS1,1
sub-A00057480,TRT,1
sub-A00057480,FLU2,1
sub-A00057480,FLU1,1
sub-A00057480,BAS1,1
sub-A00057445,FLU1,1
sub-A00057445,BAS2,1
sub-A00057445,BAS1,1
sub-A00057444,BAS1,1
sub-A00057406,BAS1,1
sub-A00057405,TRT,1
sub-A00057405,FLU2,1
sub-A00057405,FLU1,1
sub-A00057405,BAS1,1
sub-A00057235,BAS1,1
sub-A00057203,BAS1,1
sub-A00057786,BAS1,1
sub-A00057809,FLU1,1
sub-A00058130,BAS1,1
sub-A00057809,FLU2,1
sub-A00058061,BAS1,1
sub-A00058060,TRT,1
sub-A00058060,BAS1,1
sub-A00058053,TRT,1
sub-A00058053,FLU1,1
sub-A00058053,BAS1,1
sub-A00058004,TRT,1
sub-A00058004,FLU2,1
sub-A00058004,BAS1,1
sub-A00057967,BAS1,1
sub-A00057965,BAS1,1
sub-A00057863,TRT,1
sub-A00057863,FLU2,1
sub-A00057863,BAS1,1
sub-A00057862,TRT,1
sub-A00057862,FLU2,1
sub-A00057862,FLU1,1
sub-A00057862,BAS1,1
sub-A00057809,TRT,1
sub-A00057183,BAS1,1
sub-A00057182,BAS1,1
sub-A00057076,TRT,1
sub-A00057076,FLU2,1
sub-A00056307,FLU1,1
sub-A00056295,TRT,1
sub-A00056295,FLU2,1
sub-A00056295,FLU1,1
sub-A00056198,TRT,1
sub-A00056198,FLU2,1
sub-A00056198,FLU1,1
sub-A00056198,BAS1,1
sub-A00056164,BAS1,1
sub-A00056138,FLU1,1
sub-A00056099,BAS2,1
sub-A00056098,BAS2,1
sub-A00056097,BAS1,1
sub-A00056022,TRT,1
sub-A00056022,FLU2,1
sub-A00056022,FLU1,1
sub-A00056022,BAS1,1
sub-A00056020,TRT,1
sub-A00060264,BAS2,1
sub-A00056307,FLU2,1
sub-A00056372,BAS1,1
sub-A00056419,BAS1,1
sub-A00056679,FLU2,1
sub-A00057076,FLU1,1
sub-A00057005,BAS1,1
sub-A00056949,BAS1,1
sub-A00056919,BAS1,1
sub-A00056898,BAS1,1
sub-A00056830,FLU2,1
sub-A00056746,FLU2,1
sub-A00056746,BAS1,1
sub-A00056679,FLU1,1
sub-A00056419,FLU2,1
sub-A00056605,FLU2,1
sub-A00056605,FLU1,1
sub-A00056453,BAS1,1
sub-A00056452,BAS2,1
sub-A00056452,BAS1,1
sub-A00056420,FLU2,1
sub-A00056420,FLU1,1
sub-A00056419,TRT,1
sub-A00058061,TRT,1
sub-A00056746,TRT,1
sub-A00058145,BAS1,1
sub-A00059865,TRT,1
sub-A00059865,FLU1,1
sub-A00059865,BAS1,1
sub-A00059845,BAS1,1
sub-A00059756,BAS1,1
sub-A00059733,FLU1,1
sub-A00059733,BAS1,1
sub-A00059664,BAS1,1
sub-A00059663,BAS1,1
sub-A00059662,BAS1,1
sub-A00059527,BAS1,1
sub-A00059428,BAS1,1
sub-A00059361,FLU2,1
sub-A00059361,FLU1,1
sub-A00059361,BAS2,1
sub-A00059361,BAS1,1
sub-A00059346,BAS1,1
sub-A00059865,FLU2,1
sub-A00059911,BAS1,1
sub-A00059327,TRT,1
sub-A00059935,BAS1,1
sub-A00060264,BAS1,1
sub-A00058214,BAS1,1
sub-A00060259,BAS1,1
sub-A00060252,BAS1,1
sub-A00060185,BAS1,1
sub-A00060184,BAS1,1
sub-A00060170,BAS1,1
sub-A00060169,BAS1,1
sub-A00060100,TRT,1
sub-A00060100,FLU2,1
sub-A00060100,FLU1,1
sub-A00060100,BAS1,1
sub-A00060099,TRT,1
sub-A00060099,FLU2,1
sub-A00060099,FLU1,1
sub-A00060099,BAS1,1
sub-A00060093,BAS1,1
sub-A00059990,BAS1,1
sub-A00060005,BAS1,1
sub-A00059327,FLU2,1
sub-A00058621,BAS1,1
sub-A00058552,BAS1,1
sub-A00058537,FLU2,1
sub-A00058537,BAS1,1
sub-A00058516,TRT,1
sub-A00058516,BAS1,1
sub-A00058515,BAS1,1
sub-A00058503,FLU2,1
sub-A00058503,FLU1,1
sub-A00058503,BAS1,1
sub-A00058436,BAS1,1
sub-A00058318,BAS1,1
sub-A00058229,FLU2,1
sub-A00058229,FLU1,1
sub-A00058229,BAS1,1
sub-A00058215,TRT,1
sub-A00058215,FLU2,1
sub-A00059327,FLU1,1
sub-A00058215,FLU1,1
sub-A00058215,BAS1,1
sub-A00058570,BAS1,1
sub-A00058503,BAS2,1
sub-A00058644,BAS1,1
sub-A00059074,BAS1,1
sub-A00059326,FLU1,1
sub-A00058667,BAS1,1
sub-A00059327,BAS1,1
sub-A00059326,BAS1,1
sub-A00059325,TRT,1
sub-A00059325,FLU1,1
sub-A00059325,BAS1,1
sub-A00059109,BAS1,1
sub-A00059107,BAS1,1
sub-A00059326,FLU2,1
sub-A00058685,BAS1,1
sub-A00058998,BAS1,1
sub-A00058952,FLU1,1
sub-A00058952,BAS2,1
sub-A00058952,BAS1,1
sub-A00058951,BAS1,1
sub-A00058685,FLU2,1
sub-A00058999,BAS1,1
sub-A00076574,TRT,2
sub-A00077091,FLU2,2
sub-A00077088,FLU2,2
sub-A00076775,FLU2,2
sub-A00076764,FLU1,2
sub-A00076759,FLU2,2
sub-A00076755,FLU2,2
sub-A00076574,FLU2,2
sub-A00076746,FLU2,2
sub-A00077099,FLU2,2
sub-A00076594,FLU2,2
sub-A00077304,FLU2,2
sub-A00077134,FLU2,2
sub-A00077184,FLU2,2
sub-A00077188,FLU2,2
sub-A00077203,FLU2,2
sub-A00077252,FLU2,2
sub-A00077413,FLU2,2
sub-A00077453,FLU2,2
sub-A00077528,FLU2,2
sub-A00077573,FLU1,2
sub-A00076568,FLU2,2
sub-A00077556,FLU2,2
sub-A00076568,TRT,2
sub-A00074952,FLU2,2
sub-A00076559,FLU2,2
sub-A00076546,FLU2,2
sub-A00074641,FLU2,2
sub-A00077668,FLU2,2
sub-A00074657,FLU2,2
sub-A00074793,FLU2,2
sub-A00074795,FLU2,2
sub-A00074808,FLU2,2
sub-A00074836,FLU2,2
sub-A00074942,FLU2,2
sub-A00074959,FLU2,2
sub-A00074962,FLU2,2
sub-A00074977,FLU2,2
sub-A00074985,FLU2,2
sub-A00074989,FLU2,2
sub-A00075220,FLU2,2
sub-A00075229,FLU2,2
sub-A00075407,FLU2,2
sub-A00075653,FLU2,2
sub-A00075732,FLU2,2
sub-A00075735,FLU2,2
sub-A00075757,FLU2,2
sub-A00075895,FLU2,2
sub-A00075898,FLU2,2
sub-A00076380,FLU2,2
sub-A00076381,FLU2,2
sub-A00077585,FLU2,2
sub-A00083982,FLU1,2
sub-A00077753,FLU2,2
sub-A00083963,FLU1,2
sub-A00082969,FLU1,2
sub-A00083169,FLU1,2
sub-A00083207,FLU1,2
sub-A00083687,FLU1,2
sub-A00083731,FLU1,2
sub-A00083745,FLU1,2
sub-A00083847,FLU1,2
sub-A00083949,FLU1,2
sub-A00083950,FLU1,2
sub-A00083951,FLU1,2
sub-A00083983,FLU1,2
sub-A00082556,FLU1,2
sub-A00084901,FLU1,2
sub-A00085001,FLU1,2
sub-A00085003,FLU1,2
sub-A00085290,FLU1,2
sub-A00085297,FLU1,2
sub-A00085298,FLU1,2
sub-A00085665,FLU1,2
sub-A00085743,FLU1,2
sub-A00085796,FLU1,2
sub-A00085797,FLU1,2
sub-A00074447,FLU2,2
sub-A00082665,FLU1,2
sub-A00082529,FLU1,2
sub-A00078262,FLU2,2
sub-A00081065,FLU2,2
sub-A00079724,FLU2,2
sub-A00079730,FLU2,2
sub-A00079775,FLU1,2
sub-A00079776,FLU2,2
sub-A00079850,FLU2,2
sub-A00080052,FLU2,2
sub-A00080818,FLU2,2
sub-A00080819,FLU2,2
sub-A00080901,FLU2,2
sub-A00080932,FLU2,2
sub-A00081064,FLU2,2
sub-A00081071,FLU2,2
sub-A00082528,FLU1,2
sub-A00081090,FLU2,2
sub-A00081090,TRT,2
sub-A00081098,FLU2,2
sub-A00081123,FLU1,2
sub-A00081142,FLU2,2
sub-A00081175,FLU2,2
sub-A00081385,FLU2,2
sub-A00081724,FLU1,2
sub-A00081735,FLU1,2
sub-A00081963,FLU1,2
sub-A00074447,TRT,2
sub-A00040117,TRT,2
sub-A00074439,FLU2,2
sub-A00051456,FLU2,2
sub-A00044011,BAS1,2
sub-A00044068,BAS1,2
sub-A00074113,FLU2,2
sub-A00050742,BAS1,2
sub-A00050743,BAS1,2
sub-A00050911,BAS1,2
sub-A00050977,BAS1,2
sub-A00051064,BAS1,2
sub-A00051456,BAS1,2
sub-A00051457,BAS1,2
sub-A00043617,FLU1,2
sub-A00051513,BAS1,2
sub-A00051690,BAS1,2
sub-A00051835,BAS1,2
sub-A00051835,FLU2,2
sub-A00051925,BAS1,2
sub-A00052180,BAS1,2
sub-A00052181,BAS1,2
sub-A00052181,FLU1,2
sub-A00052234,BAS1,2
sub-A00043758,BAS1,2
sub-A00043521,BAS1,2
sub-A00052560,BAS1,2
sub-A00039391,FLU2,2
sub-A00028185,BAS2,2
sub-A00031794,FLU1,2
sub-A00032875,FLU1,2
sub-A00033673,FLU1,2
sub-A00035940,FLU1,2
sub-A00037267,FLU2,2
sub-A00038623,FLU2,2
sub-A00038806,FLU2,2
sub-A00039353,FLU2,2
sub-A00039560,FLU2,2
sub-A00043450,BAS1,2
sub-A00039593,FLU2,2
sub-A00039820,FLU2,2
sub-A00039951,FLU2,2
sub-A00039975,FLU1,2
sub-A00040117,FLU1,2
sub-A00040285,FLU2,2
sub-A00040286,FLU2,2
sub-A00040604,FLU2,2
sub-A00043417,BAS1,2
sub-A00052234,FLU2,2
sub-A00050679,BAS1,2
sub-A00052577,FLU2,2
sub-A00064507,FLU2,2
sub-A00062285,FLU2,2
sub-A00062797,FLU2,2
sub-A00062937,FLU2,2
sub-A00062983,FLU2,2
sub-A00063327,FLU2,2
sub-A00063329,FLU2,2
sub-A00063424,FLU1,2
sub-A00064503,FLU2,2
sub-A00065487,FLU2,2
sub-A00062210,FLU2,2
sub-A00065975,FLU2,2
sub-A00065975,TRT,2
sub-A00065978,FLU2,2
sub-A00066154,FLU2,2
sub-A00066697,FLU1,2
sub-A00066698,FLU1,2
sub-A00053369,BAS1,2
sub-A00073545,TRT,2
sub-A00073953,FLU2,2
sub-A00062282,FLU1,2
sub-A00073545,FLU2,2
sub-A00061883,FLU2,2
sub-A00055908,TRT,2
sub-A00053949,FLU1,2
sub-A00054019,BAS1,2
sub-A00054153,FLU2,2
sub-A00054173,BAS1,2
sub-A00055121,BAS1,2
sub-A00055352,BAS1,2
sub-A00055728,TRT,2
sub-A00055763,FLU1,2
sub-A00055908,BAS1,2
sub-A00055728,BAS1,2
sub-A00055962,BAS1,2
sub-A00057372,BAS1,2
sub-A00056099,FLU1,2
sub-A00060575,FLU2,2
sub-A00057445,FLU2,2
sub-A00061656,FLU2,2
sub-A00056605,BAS1,2
sub-A00056306,BAS1,2
sub-A00056138,BAS1,2
sub-A00061749,FLU2,2
sub-A00060503,FLU1,3
sub-A00027439,FLU1,3
sub-A00027439,TRT,3
sub-A00043762,BAS1,3
sub-A00043762,BAS2,3
sub-A00043762,FLU2,3
sub-A00055267,FLU2,3
sub-A00057726,TRT,3
sub-A00060503,BAS1,3
sub-A00060503,FLU2,3
sub-A00062349,FLU2,3
sub-A00062353,TRT,3
sub-A00064328,FLU1,3
sub-A00064418,FLU2,3
sub-A00077638,TRT,3
sub-A00081239,BAS1,3
sub-A00082942,BAS1,3
sub-A00083744,BAS1,4
sub-A00082943,FLU1,4
sub-A00081727,FLU1,4
sub-A00081476,BAS1,4
sub-A00081064,FLU1,4
sub-A00077577,BAS1,4
sub-A00077412,FLU1,4
sub-A00077134,FLU1,4
sub-A00074800,FLU1,4
sub-A00066865,BAS1,4
sub-A00065302,FLU2,4
sub-A00061298,FLU2,4
sub-A00058229,TRT,4
sub-A00057808,BAS1,4
sub-A00075372,TRT,5
sub-A00065250,FLU2,5
sub-A00066237,FLU2,5
sub-A00066237,FLU1,5
sub-A00081734,BAS1,5
sub-A00080901,BAS1,5
sub-A00077577,FLU1,5
sub-A00035561,FLU1,5
sub-A00060846,TRT,5
sub-A00062416,BAS1,5
sub-A00066860,FLU2,6
sub-A00076595,FLU2,6
sub-A00077412,FLU2,6
sub-A00079977,FLU2,6
sub-A00081518,FLU1,6
sub-A00083631,FLU1,6
sub-A00083732,FLU1,6
sub-A00085066,FLU1,6
sub-A00077181,FLU2,7
sub-A00083162,FLU1,7
sub-A00081727,FLU2,7
sub-A00065379,BAS1,8
sub-A00037229,FLU1,8
sub-A00076751,FLU1,9
sub-A00051528,BAS1,9
sub-A00081721,BAS1,10
sub-A00059344,BAS2,10
sub-A00065935,FLU1,11
sub-A00039943,FLU2,11
sub-A00061387,BAS1,12
sub-A00061806,BAS1,12
sub-A00074969,FLU1,13
sub-A00077311,FLU1,13
sub-A00073975,BAS1,14
sub-A00081103,FLU1,14
sub-A00080811,BAS1,15
sub-A00074969,BAS1,16
sub-A00074711,BAS1,17
sub-A00066246,BAS1,18
sub-A00075732,FLU1,19
sub-A00066460,FLU2,20
sub-A00066831,BAS1,21
sub-A00081721,FLU1,22
sub-A00081938,BAS1,23
sub-A00081103,BAS1,24
sub-A00076751,BAS1,25
sub-A00074000,BAS1,26
sub-A00080452,BAS1,27
sub-A00079715,BAS1,28
sub-A00053473,BAS1,29
sub-A00055727,BAS1,30
sub-A00063383,FLU2,31
sub-A00074969,FLU2,32
sub-A00076751,FLU2,33
sub-A00059344,BAS1,34
sub-A00060006,BAS1,35
sub-A00059344,FLU1,36
sub-A00059344,FLU2,37
sub-A00062983,BAS1,38
sub-A00060472,TRT,39
sub-A00060280,FLU2,40
sub-A00060848,BAS1,41
sub-A00043325,BAS1,42
sub-A00050795,BAS1,43
sub-A00044307,BAS1,44
sub-A00028339,FLU1,45
sub-A00039488,BAS2,46
sub-A00035827,BAS2,47
sub-A00037229,BAS2,48
